album_id,album_name,release_date,total_track,album_type,album_url
17vUW6koeUkV58uYfkK6G3,Sentimental,2020-11-06,11,album,https://open.spotify.com/album/17vUW6koeUkV58uYfkK6G3
62tBcSn5N7vgrndYZwC4GB,HARAP-HARAP EMAS,2024-09-27,12,album,https://open.spotify.com/album/62tBcSn5N7vgrndYZwC4GB
5Y5dkZeSlePrTopuETspAh,Nonfiksi,2024-06-28,13,album,https://open.spotify.com/album/5Y5dkZeSlePrTopuETspAh
35UI6U9KndqP2jBoMz9tOn,Tak Di Tanganku,2023-03-16,1,single,https://open.spotify.com/album/35UI6U9KndqP2jBoMz9tOn
1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,2019-11-29,15,album,https://open.spotify.com/album/1DAuVHMlBvIjzWZALSUXbn
2kgo1jbmAmaANgE8EaIrKX,Lagipula Hidup Akan Berakhir,2023-07-07,14,album,https://open.spotify.com/album/2kgo1jbmAmaANgE8EaIrKX
4szhn3xPmOJklFAcqNvTnQ,Monokrom,2016-08-03,10,album,https://open.spotify.com/album/4szhn3xPmOJklFAcqNvTnQ
3R4IAF9ApqYeUQrv1ddyoR,Manusia,2022-03-03,10,album,https://open.spotify.com/album/3R4IAF9ApqYeUQrv1ddyoR
38D2z2TJ00G6qViXbvslpy,Pongki Barata Meets The Stars,2014-09-20,10,compilation,https://open.spotify.com/album/38D2z2TJ00G6qViXbvslpy
4WGZARQCmhrbxPJajCkkjr,Labirin,2018-08-24,1,single,https://open.spotify.com/album/4WGZARQCmhrbxPJajCkkjr
1vva4fJyjXaJ2RDsGmIbCv,fábula,2023-01-23,10,album,https://open.spotify.com/album/1vva4fJyjXaJ2RDsGmIbCv
22rc3bBMyJemUaLBe7chVV,Mati-Matian,2024-03-29,2,single,https://open.spotify.com/album/22rc3bBMyJemUaLBe7chVV
3MY5j23bUAPJKChg5V47m9,Sampai Menutup Mata,2024-09-06,2,single,https://open.spotify.com/album/3MY5j23bUAPJKChg5V47m9
14CzP48sGOaDXL2aTwUUgd,Bermuara,2024-05-02,1,single,https://open.spotify.com/album/14CzP48sGOaDXL2aTwUUgd
7swcI60yTRtgNUncVzGyRx,Aku Yang Salah,2020-07-08,1,single,https://open.spotify.com/album/7swcI60yTRtgNUncVzGyRx
6E4sl58YgjMqfUBNGOfAUa,Perayaan Patah Hati - Babak 1,2022-09-06,9,album,https://open.spotify.com/album/6E4sl58YgjMqfUBNGOfAUa
5DYiigOQPVOXd99jUnRTdP,Penyangkalan,2024-07-16,1,single,https://open.spotify.com/album/5DYiigOQPVOXd99jUnRTdP
2w4AJncxdhdz2MIsBXgbyq,Sadrah,2024-03-18,1,single,https://open.spotify.com/album/2w4AJncxdhdz2MIsBXgbyq
7DX7ZwAoBPhbgst6FQDiZ2,Second Chance,2013-01-01,11,album,https://open.spotify.com/album/7DX7ZwAoBPhbgst6FQDiZ2
3OMKXDMhWMBVl9FmCZ83WK,Ada Selamanya,2023-02-25,1,single,https://open.spotify.com/album/3OMKXDMhWMBVl9FmCZ83WK
1yrDwJMvVbuwnzLq7ZENPt,Semula,2024-10-10,1,single,https://open.spotify.com/album/1yrDwJMvVbuwnzLq7ZENPt
6RUEyCnpcBsm3uSv08NY8q,Duka,2016-09-25,1,single,https://open.spotify.com/album/6RUEyCnpcBsm3uSv08NY8q
0lmWHPA0DAJY2xKscafErm,Our Biggest Thing Ever,2014-12-30,13,album,https://open.spotify.com/album/0lmWHPA0DAJY2xKscafErm
54kJ2LnLUi8jhkgtgJaIXc,Everything We Are Everything,2015-01-11,9,album,https://open.spotify.com/album/54kJ2LnLUi8jhkgtgJaIXc
2psuiIqSvW4pk4bJojGWfR,Surat Cinta Untuk Starla,2017-10-19,9,compilation,https://open.spotify.com/album/2psuiIqSvW4pk4bJojGWfR
3jcWdZj9uylBvfSuMyqTaP,Tak Pernah Ternilai,2015-01-13,1,single,https://open.spotify.com/album/3jcWdZj9uylBvfSuMyqTaP
55AhQ6v2tHRnnCy0NB8yk3,Saat Saat Itu,2022-06-30,1,single,https://open.spotify.com/album/55AhQ6v2tHRnnCy0NB8yk3
75KyCmWatZRvlMcMRed9BG,Selamat Ulang Tahun,2020-05-28,10,album,https://open.spotify.com/album/75KyCmWatZRvlMcMRed9BG
60YDoJUMHjkYtZnPztRvZ1,Sorai,2019-01-01,1,single,https://open.spotify.com/album/60YDoJUMHjkYtZnPztRvZ1
5hpq1LSLCuC7cifjXAM5bf,"Untuk Dunia, Cinta, dan Kotornya",2023-10-13,11,album,https://open.spotify.com/album/5hpq1LSLCuC7cifjXAM5bf
4gwRdhyoIngNRgbeP0C7Id,Berhati,2020-02-20,11,album,https://open.spotify.com/album/4gwRdhyoIngNRgbeP0C7Id
20nf5isZzrFuEOr0tIZkWG,Lyodra,2021-07-16,8,album,https://open.spotify.com/album/20nf5isZzrFuEOr0tIZkWG
2y28ojd9lBvtJjgoGgCLov,Melangkah,2024-10-10,8,album,https://open.spotify.com/album/2y28ojd9lBvtJjgoGgCLov
02xTkZ9qQYEA5GtUgnsEcG,Terlalu Cinta,2024-07-25,1,single,https://open.spotify.com/album/02xTkZ9qQYEA5GtUgnsEcG
13zfefPjKHsxUJm9SZFDtE,Menyesal,2023-03-03,1,single,https://open.spotify.com/album/13zfefPjKHsxUJm9SZFDtE
6oP8VmNt84dc4Kn00FM46C,Ada,2023-10-05,1,single,https://open.spotify.com/album/6oP8VmNt84dc4Kn00FM46C
0jxUY7K5FdwJNl3SmnOZOl,Tiara Andini,2021-12-17,8,album,https://open.spotify.com/album/0jxUY7K5FdwJNl3SmnOZOl
1lN55vIsNORo3W6QlWbGR8,Usai,2022-11-25,1,single,https://open.spotify.com/album/1lN55vIsNORo3W6QlWbGR8
6uwl5luJhAy6CLqoU8ExTY,Masih Hatiku,2024-02-22,1,single,https://open.spotify.com/album/6uwl5luJhAy6CLqoU8ExTY
4nchsck2JTRbfcaNuD1fzr,Kupu - Kupu,2024-04-18,1,single,https://open.spotify.com/album/4nchsck2JTRbfcaNuD1fzr
2qEHRe3bIRZ1DLyYMmnBK4,Cintanya Aku,2021-01-22,1,single,https://open.spotify.com/album/2qEHRe3bIRZ1DLyYMmnBK4
2A17uTjFWawokbDDt6jzzv,Bukan Untukku,2024-10-03,1,single,https://open.spotify.com/album/2A17uTjFWawokbDDt6jzzv
5eY3dzN1EvreoSLr1vWVMu,Lagu Pernikahan Kita,2024-02-01,1,single,https://open.spotify.com/album/5eY3dzN1EvreoSLr1vWVMu
48VJneXoN4AW5QAT4Ruwkc,ArTi Semestinya Cinta,2024-03-07,5,single,https://open.spotify.com/album/48VJneXoN4AW5QAT4Ruwkc
0Cu6JzzodKQ5Lzccubu5zj,Nicole,2022-08-11,12,album,https://open.spotify.com/album/0Cu6JzzodKQ5Lzccubu5zj
22Es8oTgrk3zdUcoV9gW9y,lowkey,2019-04-24,1,single,https://open.spotify.com/album/22Es8oTgrk3zdUcoV9gW9y
2HPj0XZe9WduSsyKTQqgVa,Every Summertime,2021-08-10,1,single,https://open.spotify.com/album/2HPj0XZe9WduSsyKTQqgVa
6DCIkaHedG9bOhkHGN3GXM,NIKI Acoustic Sessions: Head In The Clouds II,2019-08-11,3,single,https://open.spotify.com/album/6DCIkaHedG9bOhkHGN3GXM
1DWudTaW5joeHaG6wgSNSS,Buzz,2024-08-08,13,album,https://open.spotify.com/album/1DWudTaW5joeHaG6wgSNSS
2hwNRtZyqmEcCzV47OUAlN,The 2000's Greatest,2007-03-12,14,album,https://open.spotify.com/album/2hwNRtZyqmEcCzV47OUAlN
4eEU7HKuOnfbovQM9mISBy,Format Masa Depan,1994-06-16,10,album,https://open.spotify.com/album/4eEU7HKuOnfbovQM9mISBy
0J5QTb6giV74fwg9PxGUHR,Risalah Hati,2021-07-23,1,single,https://open.spotify.com/album/0J5QTb6giV74fwg9PxGUHR
0QtVlnrFMVFDTFg1NYtDOT,Terbaik Terbaik,1995-08-02,11,album,https://open.spotify.com/album/0QtVlnrFMVFDTFg1NYtDOT
2gajnKEtcWmFQ03Al5qvpF,Aku Cinta Kau Dan Dia,2021-08-04,1,single,https://open.spotify.com/album/2gajnKEtcWmFQ03Al5qvpF
0y9i2KHDYh2gKfbpUNiM86,Membangun & Menghancurkan,2024-08-30,15,album,https://open.spotify.com/album/0y9i2KHDYh2gKfbpUNiM86
3xlryrSJ3mQ3eY4CGd9ow5,Peradaban,2018-07-13,1,single,https://open.spotify.com/album/3xlryrSJ3mQ3eY4CGd9ow5
6SkKvMB1eykgdm8sXzddTc,Kami Belum Tentu,2018-09-14,1,single,https://open.spotify.com/album/6SkKvMB1eykgdm8sXzddTc
2G8ReruW8fC2xNBSoM9I8B,Berita Kehilangan,2018-08-10,1,single,https://open.spotify.com/album/2G8ReruW8fC2xNBSoM9I8B
6pKRaekZWZj8TeQXCPpPOS,Gelora,2019-11-27,1,single,https://open.spotify.com/album/6pKRaekZWZj8TeQXCPpPOS
1n1ZWkeMmGeVuKOKjnmYaO,Tarian Penghancur Raya,2019-11-08,1,single,https://open.spotify.com/album/1n1ZWkeMmGeVuKOKjnmYaO
0OKRjCw5ZtEFDIhPGvEyae,Abdi Lara Insani,2022-04-22,8,album,https://open.spotify.com/album/0OKRjCw5ZtEFDIhPGvEyae
3ofCjilmmAuyucK9AwULA8,Semenjak Ada Dirimu,2024-08-22,1,single,https://open.spotify.com/album/3ofCjilmmAuyucK9AwULA8
4X40KZmA4LE4beNaNrQuNw,Kereta Kencan,2017-03-23,10,album,https://open.spotify.com/album/4X40KZmA4LE4beNaNrQuNw
3ZKUrGax3UsLexr8nQqxrc,Siapkah Kau 'Tuk Jatuh Cinta Lagi,2015-04-21,1,single,https://open.spotify.com/album/3ZKUrGax3UsLexr8nQqxrc
3GXsFGyViN6r1JYvuHYYSG,CERITERA,2019-11-13,9,album,https://open.spotify.com/album/3GXsFGyViN6r1JYvuHYYSG
1omMrtVETWau6zIf3ff4ae,Say Hi To Hivi!,2012-04-18,10,album,https://open.spotify.com/album/1omMrtVETWau6zIf3ff4ae
1hrJXgaVEGovpLl9dFdqz7,Sheila On 7,1999-07-14,10,album,https://open.spotify.com/album/1hrJXgaVEGovpLl9dFdqz7
59MdGM9vovHOEqp40fpthI,07 Des,2002-03-26,14,album,https://open.spotify.com/album/59MdGM9vovHOEqp40fpthI
2yDNCNEbfaE2GnCSkY7yba,Berlayar,2011-03-15,10,album,https://open.spotify.com/album/2yDNCNEbfaE2GnCSkY7yba
4bPUtZdWsvU1eTPmJFuvwm,Kisah Klasik Untuk Masa Depan,2000-10-04,12,album,https://open.spotify.com/album/4bPUtZdWsvU1eTPmJFuvwm
2nXulMdqeETddh6KThsEjI,Film Favorit,2018-01-29,1,single,https://open.spotify.com/album/2nXulMdqeETddh6KThsEjI
66ggR3LdVt8pjIaOeL7kNB,OST. 30 Hari Mencari Cinta,2003-12-05,10,compilation,https://open.spotify.com/album/66ggR3LdVt8pjIaOeL7kNB
5XDIG1UnNJ4jLVwsCFbc7l,Pejantan Tangguh,2004-05-25,12,album,https://open.spotify.com/album/5XDIG1UnNJ4jLVwsCFbc7l
4g3aTyVwe84yOlAM9LMWro,Cinta & Doa,2023-09-22,13,album,https://open.spotify.com/album/4g3aTyVwe84yOlAM9LMWro
5mCUtD20kAyTi6gmsYwxHt,Cinta Luar Biasa,2019-11-22,9,album,https://open.spotify.com/album/5mCUtD20kAyTi6gmsYwxHt
5boeKAXsTkdFlm6OnkQxQW,Runtuh,2021-10-01,1,single,https://open.spotify.com/album/5boeKAXsTkdFlm6OnkQxQW
3oCPm4IKeaWJy666uZPKih,Kembali Pulang,2022-10-28,1,single,https://open.spotify.com/album/3oCPm4IKeaWJy666uZPKih
0t4RNN2t8lhd9yI9YxFHk5,Riuh,2022-01-21,10,album,https://open.spotify.com/album/0t4RNN2t8lhd9yI9YxFHk5
73wlf7LjR5ytZvdINDIowe,Tanpa Pamrih,2022-08-05,1,single,https://open.spotify.com/album/73wlf7LjR5ytZvdINDIowe
29o0BQQ85w1T5WtWSd79m8,Masterpiece Maia Estianty,2020-10-15,11,compilation,https://open.spotify.com/album/29o0BQQ85w1T5WtWSd79m8
2ahzgLO6pFtsYneTKeBfFA,Negeriku (Collabonation Version),2023-08-10,1,single,https://open.spotify.com/album/2ahzgLO6pFtsYneTKeBfFA
5rTrfbcQlTr807zJKhH5zN,Hitam Putih,2024-09-26,11,album,https://open.spotify.com/album/5rTrfbcQlTr807zJKhH5zN
3nrEhteC4SHPiLCSHvod71,2016,2023-03-31,5,single,https://open.spotify.com/album/3nrEhteC4SHPiLCSHvod71
3zzIZJAYdeMttVROyFSUfN,My First Love,2011-06-01,12,album,https://open.spotify.com/album/3zzIZJAYdeMttVROyFSUfN
0KUthdNI5OHnflJNj6Jd2g,"Love, Love & Love",2011-02-01,12,album,https://open.spotify.com/album/0KUthdNI5OHnflJNj6Jd2g
7GfylFxRPXIGHwKZTPlURg,The One,2010-04-01,7,album,https://open.spotify.com/album/7GfylFxRPXIGHwKZTPlURg
3eWu0wNs9ltvXghDHMhHQK,Live to Love,2013-02-05,10,album,https://open.spotify.com/album/3eWu0wNs9ltvXghDHMhHQK
2maVK3t3NYwcqwp2IKdhyw,SIDES,2016-08-24,13,album,https://open.spotify.com/album/2maVK3t3NYwcqwp2IKdhyw
7tXSAdhvFo8k9HNE5dK9Ym,DEKADE,2018-02-21,14,album,https://open.spotify.com/album/7tXSAdhvFo8k9HNE5dK9Ym
427i70YCWKnkDAvvHjsxMp,"Love, Life & Music",2014-05-19,10,album,https://open.spotify.com/album/427i70YCWKnkDAvvHjsxMp
1ahdxVWtqETWgYIuO4Uv8v,Confession No.1,2008-01-01,13,album,https://open.spotify.com/album/1ahdxVWtqETWgYIuO4Uv8v
2KZ89EkUZMZMuHuDdi3VNN,Still The One,2014-04-14,11,album,https://open.spotify.com/album/2KZ89EkUZMZMuHuDdi3VNN
7aSV0bzRGqWW3bETcc6oSp,The Special One,2007-12-10,11,album,https://open.spotify.com/album/7aSV0bzRGqWW3bETcc6oSp
6nFdenkFLOxjD5eYaD6pZc,Winning 11,2010-08-16,11,album,https://open.spotify.com/album/6nFdenkFLOxjD5eYaD6pZc
6osB48b3PzrABxdspbyYkd,Selamat (Selamat Tinggal),2019-06-17,1,single,https://open.spotify.com/album/6osB48b3PzrABxdspbyYkd
2KhCqrXaLVeUNuB8FifMJj,Saat Kau Telah Mengerti,2023-01-13,1,single,https://open.spotify.com/album/2KhCqrXaLVeUNuB8FifMJj
49ITgnRs2AEdr1p0s6tXXg,Bukti,2017-09-19,1,single,https://open.spotify.com/album/49ITgnRs2AEdr1p0s6tXXg
4EERiS8fZYOxtHPn06HP8P,Orang Yang Sama,2021-04-15,1,single,https://open.spotify.com/album/4EERiS8fZYOxtHPn06HP8P
28k3XdyzklbPTC9xZdA1q8,Titik Balik di Hidupku,2019-11-27,1,single,https://open.spotify.com/album/28k3XdyzklbPTC9xZdA1q8
2H6bcJZG9f5ZkKl9TxUmXF,Maha Pemilik Hati,2018-05-02,1,single,https://open.spotify.com/album/2H6bcJZG9f5ZkKl9TxUmXF
7HY6iwjuYwS3k2qnJZeNFM,Saat Hatiku Bertanya,2019-04-01,1,single,https://open.spotify.com/album/7HY6iwjuYwS3k2qnJZeNFM
3QUGmEDo4oijL93sKzlsR4,Flying Solo,2019-06-14,11,album,https://open.spotify.com/album/3QUGmEDo4oijL93sKzlsR4
7IRlD9qEXisysWi8O24EkU,Walk The Talk,2018-07-15,16,album,https://open.spotify.com/album/7IRlD9qEXisysWi8O24EkU
2Hjub1YpegaAmIf2TULKki,Pupus / Risalah Hati,2021-06-30,2,single,https://open.spotify.com/album/2Hjub1YpegaAmIf2TULKki
4LvgUXgET9nwyO1wpRpR0Y,Hardcore Romance,2024-08-21,9,album,https://open.spotify.com/album/4LvgUXgET9nwyO1wpRpR0Y
5xkTcnSy7X3uuCNltjOf0d,Solipsism 0.2,2021-02-03,12,album,https://open.spotify.com/album/5xkTcnSy7X3uuCNltjOf0d
2nFXZYwcFX49uehczLGoFM,King of Soundtrack,2014-03-03,12,album,https://open.spotify.com/album/2nFXZYwcFX49uehczLGoFM
0VwLB6mtRWsd0Rd9XVGr1X,Breakthru,2005-09-01,10,album,https://open.spotify.com/album/0VwLB6mtRWsd0Rd9XVGr1X
2OSSCdpH41fvMp2NPenZ2U,Top Up,2007-01-01,12,album,https://open.spotify.com/album/2OSSCdpH41fvMp2NPenZ2U
2irA4FZKAdkCn7y6iceOhx,Rahasia Hati (New Version),2024-11-07,1,single,https://open.spotify.com/album/2irA4FZKAdkCn7y6iceOhx
2Vu9vlqebIXTxVSZiuxpyj,Tempat Aku Pulang,2014-05-15,14,album,https://open.spotify.com/album/2Vu9vlqebIXTxVSZiuxpyj
4ZK9i5BirBr33IfrKTGDRh,Konspirasi Alam Semesta,2015-10-29,14,album,https://open.spotify.com/album/4ZK9i5BirBr33IfrKTGDRh
3srKBIcoP2Q9VA1cDHARUh,"Pelukku Untuk Pelikmu (OST Imperfect: Karier, Cinta, & Timbangan)",2019-11-08,1,single,https://open.spotify.com/album/3srKBIcoP2Q9VA1cDHARUh
0dP6P5k4yXMPHeM5e7OMJf,Sederhanamu Istimewa (Cinta tak Seindah Drama Korea Original Motion Picture Soundtrack),2024-11-27,1,single,https://open.spotify.com/album/0dP6P5k4yXMPHeM5e7OMJf
5uAcLj2EJLtQtKMyDYCI0Q,MARKERS AND SUCH PENS FLASHDISKS,2024-04-30,15,album,https://open.spotify.com/album/5uAcLj2EJLtQtKMyDYCI0Q
6sGKwCYtM7MlRkVYFWbNQY,Mencintaimu,2023-10-27,1,single,https://open.spotify.com/album/6sGKwCYtM7MlRkVYFWbNQY
3K4VOWkpz4e8VlD411IwQU,Serta Mulia,2021-02-19,1,single,https://open.spotify.com/album/3K4VOWkpz4e8VlD411IwQU
7E0mCwP1eQ0zIfmz7MWlWj,Bulan Yang Baik,2021-04-23,1,single,https://open.spotify.com/album/7E0mCwP1eQ0zIfmz7MWlWj
3vTH8RPuIqcjnBA2T0cSC9,Lelaki Hebat,2008-01-01,10,album,https://open.spotify.com/album/3vTH8RPuIqcjnBA2T0cSC9
0PAFGgXB2GM6llY8ZfzoW5,Dunia Yang Indah,2010-01-01,10,album,https://open.spotify.com/album/0PAFGgXB2GM6llY8ZfzoW5
4oaTN12YTw4k2NrppmS4L6,5ang Juara,2013-06-01,12,album,https://open.spotify.com/album/4oaTN12YTw4k2NrppmS4L6
0KSNTwtBxciZY45S5s6hfG,Pantang Mundur,2015-01-01,12,album,https://open.spotify.com/album/0KSNTwtBxciZY45S5s6hfG
26FxxaKDiIGxEm549dRtaZ,Dunia Batas,2014-11-04,8,album,https://open.spotify.com/album/26FxxaKDiIGxEm549dRtaZ
1lp7ziYXZH8Z2r28FiUPWX,Ruang Tunggu,2017-12-19,9,album,https://open.spotify.com/album/1lp7ziYXZH8Z2r28FiUPWX
5GLQ5ReERUTZQwf7IYc5ci,Mendengar Suara,2018-08-03,10,album,https://open.spotify.com/album/5GLQ5ReERUTZQwf7IYc5ci
6jtK1s2zUdzNkYwYEiW6Od,Payung Teduh,2010-12-16,10,album,https://open.spotify.com/album/6jtK1s2zUdzNkYwYEiW6Od
